RR Publisher,RR Name,Id,Level 1 Indicator,Level 2 Indicator,Level 3 Indicator,Level 4 Indicator,Dependencies,Calculation,Score Low,Score High,Measure,Level,Data Source,Survey Instrument,Collection Method
World Bank,Ease of Doing Business Index,edbi,,,,,,,,,,,,,
World Bank,Ease of Doing Business Index,edbi_rp,Registering Property,,,,"edbi_rp_1, edbi_rp_2, edbi_rp_3, edbi_rp_4",,,,,,,,
World Bank,Ease of Doing Business Index,edbi_rp_1,,Procedures,,,,"A procedure is defined as any interaction of the buyer or the seller, their agents (if an agent is legally or in practice required) or the property with external parties, including government agencies, inspectors, notaries and lawyers.",,,Survey,Variable,,,
World Bank,Ease of Doing Business Index,edbi_rp_2,,Time,,,,"Time is recorded in calendar days. The measure captures the median duration that property lawyers, notaries or registry officials indicate is necessary to complete a procedure.",,,Survey,Variable,,,
World Bank,Ease of Doing Business Index,edbi_rp_3,,Cost,,,,"Cost is recorded as a percentage of the property value, assumed to be equivalent to 50 times income per capita. Only official costs required by law are recorded, including fees, transfer taxes, stamp duties and any other payment to the property registry, notaries, public agencies or lawyers.",,,Survey,Variable,,,
World Bank,Ease of Doing Business Index,edbi_rp_4,,Quality of the Land Administration Index,,,"edbi_rp_4_a, edbi_rp_4_b, edbi_rp_4_c, edbi_rp_4_d","The quality of land administration index is measured as the sum of the scores on four other indices: the reliability of infrastructure, transparency of information, geographic coverage and land dispute resolution indices. Data are collected for each economy’s largest business city. For 11 economies the data are also collected for the second largest business city.",0,30,Index,1st Order Index,,,
World Bank,Ease of Doing Business Index,edbi_rp_4_a,,,Reliability of Infrastructure index,,"edbi_rp_4_a1, edbi_rp_4_a2, edbi_rp_4_a3, edbi_rp_4_a4, edbi_rp_4_a5, edbi_rp_4_a6",,0,8,,2nd Order Index,,,
World Bank,Ease of Doing Business Index,edbi_rp_4_a1,,,,Type of system for archiving information on land ownership,,,,,,Variable,,,
World Bank,Ease of Doing Business Index,edbi_rp_4_a2,,,,Availability of electronic database to check for encumbrances,,A score of 1 is assigned if yes; 0 if no,0,1,,Variable,,,
World Bank,Ease of Doing Business Index,edbi_rp_4_a3,,,,Type of system for archiving maps,,A score of 2 is assigned if the majority of maps are fully digital; 1 if the majority are scanned; 0 if the majority are kept in paper format,0,2,,Variable,,,
World Bank,Ease of Doing Business Index,edbi_rp_4_a4,,,,Availability of geographic information system,,A score of 1 is assigned if yes; 0 if no,0,1,,Variable,,,
World Bank,Ease of Doing Business Index,edbi_rp_4_a5,,,,Link between property ownership registry and mapping system,,A score of 1 is assigned if information about land ownership and maps are kept in a single database or in linked databases; 0 if there is no connection between the different databases,0,1,,Variable,,,
World Bank,Ease of Doing Business Index,edbi_rp_4_a6,,,,How immovable property is identified,,A score of 1 is assigned if there is a unique number to identify properties; 0 if there are multiple identifiers,0,1,,Variable,,,
World Bank,Ease of Doing Business Index,edbi_rp_4_b,,,Transparency of information index,,"edbi_rp_4_b1, edbi_rp_4_b2, edbi_rp_4_b3, edbi_rp_4_b4, edbi_rp_4_b5, edbi_rp_4_b6, edbi_rp_4_b7, edbi_rp_4_b8, edbi_rp_4_b9, edbi_rp_4_b10",,0,6,,2nd Order Index,,,
World Bank,Ease of Doing Business Index,edbi_rp_4_b1,,,,Whether information on land ownership is made publicly available,,A score of 1 is assigned if information on land ownership is accessible by anyone; 0 if access is restricted.,0,1,,Variable,,,
World Bank,Ease of Doing Business Index,edbi_rp_4_b2,,,,Whether the list of documents required for completing any type of property transaction is made publicly available,,A score of 0.5 is assigned if the list of documents is accessible online or on a public board; 0 if it is not made available to the public or if it can be obtained only in person.,0,0.5,,Variable,,,
World Bank,Ease of Doing Business Index,edbi_rp_4_b3,,,,Whether the fee schedule for completing any type of property transaction is made publicly available,,A score of 0.5 is assigned if the fee schedule is accessible online or on a public board or is free of charge; 0 if it is not made available to the public or if it can be obtained only in person.,0,0.5,,Variable,,,
World Bank,Ease of Doing Business Index,edbi_rp_4_b4,,,,Whether the agency in charge of immovable property registration commits to delivering a legally binding document that proves property ownership within a specific time frame,,A score of 0.5 is assigned if the service standard is accessible online or on a public board; 0 if it is not made available to the public or if it can be obtained only in person,0,0.5,,Variable,,,
World Bank,Ease of Doing Business Index,edbi_rp_4_b5,,,,Whether there is a specific and separate mechanism for filing complaints about a problem that occurred at the agency in charge of immovable property registration,,A score of 1 is assigned if there is a specific and separate mechanism for filing a complaint; 0 if there is only a general mechanism or no mechanism,0,1,,Variable,,,
World Bank,Ease of Doing Business Index,edbi_rp_4_b6,,,,Whether there are publicly available official statistics tracking the number of transactions at the immovable property registration agency,,A score of 0.5 is assigned if statistics are published about property transfers in the largest business city in the past calendar year; 0 if no such statistics are made publicly available,0,0.5,,Variable,,,
World Bank,Ease of Doing Business Index,edbi_rp_4_b7,,,,Whether maps of land plots are made publicly available,,A score of 0.5 is assigned if maps are accessible by anyone; 0 if access is restricted,0,0.5,,Variable,,,
World Bank,Ease of Doing Business Index,edbi_rp_4_b8,,,,Whether the fee schedule for accessing maps is made publicly available,,A score of 0.5 is assigned if the fee schedule is accessible online or on a public board or free of charge; 0 if it is not made available to the public or if it can be obtained only in person,0,0.5,,Variable,,,
World Bank,Ease of Doing Business Index,edbi_rp_4_b9,,,,Whether the mapping agency commits to delivering an updated map within a specific time frame,,A score of 0.5 is assigned if the service standard is accessible online or on a public board; 0 if it is not made available to the public or if it can be obtained only in person,0,0.5,,Variable,,,
World Bank,Ease of Doing Business Index,edbi_rp_4_b10,,,,Whether there is a specific and separate mechanism for filing complaints about a problem that occurred at the mapping agency,,A score of 0.5 is assigned if there is a specific and separate mechanism for filing a complaint; 0 if there is only a general mechanism or no mechanism,0,0.5,,Variable,,,
World Bank,Ease of Doing Business Index,edbi_rp_4_c,,,Geographic coverage index,,"edbi_rp_4_c1, edbi_rp_4_c2, edbi_rp_4_c3, edbi_rp_4_c4",,0,8,,2nd Order Index,,,
World Bank,Ease of Doing Business Index,edbi_rp_4_c1,,,,How complete the coverage of the land registry is at the level of the largest business cit,,A score of 2 is assigned if all privately held land plots in the city are formally registered at the land registry; 0 if not.,0,2,,Variable,,,
World Bank,Ease of Doing Business Index,edbi_rp_4_c2,,,,How complete the coverage of the land registry is at the level of the economy,,A score of 2 is assigned if all privately held land plots in the economy are formally registered at the land registry; 0 if not,0,2,,Variable,,,
World Bank,Ease of Doing Business Index,edbi_rp_4_c3,,,,How complete the coverage of the mapping agency is at the level of the largest business city,,A score of 2 is assigned if all privately held land plots in the city are mapped; 0 if not,0,2,,Variable,,,
World Bank,Ease of Doing Business Index,edbi_rp_4_c4,,,,How complete the coverage of the mapping agency is at the level of the economy,,A score of 2 is assigned if all privately held land plots in the economy are mapped; 0 if not,0,2,,Variable,,,
World Bank,Ease of Doing Business Index,edbi_rp_4_d,,,Land dispute resolution index,,"edbi_rp_4_d1, edbi_rp_4_d2, edbi_rp_4_d3, edbi_rp_4_d4, edbi_rp_4_d5, edbi_rp_4_d6, edbi_rp_4_d7",,0,8,,2nd Order Index,,,
World Bank,Ease of Doing Business Index,edbi_rp_4_d1,,,,Whether the law requires that all property sale transactions be registered at the immovable property registry to make them opposable to third parties,,A score of 1.5 is assigned if yes; 0 if no,0,1.5,,Variable,,,
World Bank,Ease of Doing Business Index,edbi_rp_4_d2,,,,Whether the formal system of immovable property registration is subject to a guarantee,,A score of 0.5 is assigned if either a state or private guarantee over immovable property registration is required by law; 0 if no such guarantee is required,0,0.5,,Variable,,,
World Bank,Ease of Doing Business Index,edbi_rp_4_d3,,,,Whether there is a specific compensation mechanism to cover for losses incurred by parties who engaged in good faith in a property transaction based on erroneous information certified by the immovable property registry,,A score of 0.5 is assigned if yes; 0 if no,0,0.5,,Variable,,,
World Bank,Ease of Doing Business Index,edbi_rp_4_d4,,,,Whether the legal system requires verification of the legal validity of the documents necessary for a property transaction,,"A score of 0.5 is assigned if there is a review of legal validity, either by the registrar or by a professional (such as a notary or lawyer); 0 if there is no review",0,0.5,,Variable,,,
World Bank,Ease of Doing Business Index,edbi_rp_4_d5,,,,Whether there is a national database to verify the accuracy of identity documents,,A score of 1 is assigned if such a national database is available; 0 if not,0,1,,Variable,,,
World Bank,Ease of Doing Business Index,edbi_rp_4_d6,,,,How much time it takes to obtain a decision from a court of first instance (without appeal) in a standard land dispute between two local businesses over tenure rights worth 50 times income per capita and located in the largest business city,,A score of 3 is assigned if it takes less than one year; 2 if it takes between one and two years; 1 if it takes between two and three years; 0 if it takes more than three years,0,3,,Variable,,,
World Bank,Ease of Doing Business Index,edbi_rp_4_d7,,,,Whether there are publicly available statistics on the number of land disputes in the first instance,,A score of 0.5 is assigned if statistics are published about land disputes in the economy in the past calendar year; 0 if no such statistics are made publicly available,0,0.5,,Variable,,,
World Bank,Ease of Doing Business Index,edbi_sb,Starting a Business,,,,"edbi_sb_1, edbi_sb_2, edbi_sb_3, edbi_sb_4",,,,,,,,
World Bank,Ease of Doing Business Index,edbi_sb_1,,Procedures,,,,"A procedure is defined as any interaction of the company founders with external parties (for example, government agencies, lawyers, auditors or notaries) during the pre-registration, registration, and post-registration stages",,,,,,,
World Bank,Ease of Doing Business Index,edbi_sb_2,,Time,,,,Time is recorded in calendar days. The measure captures the median duration that incorporation lawyers or notaries indicate is necessary in practice to complete a procedure with minimum follow-up with government agencies and no unofficial payments.,,,,,,,
World Bank,Ease of Doing Business Index,edbi_sb_3,,Cost,,,,"Cost is recorded as a percentage of the economy’s income per capita. It includes all official fees and fees for legal or professional services if such services are required by law or commonly used in practice. Fees for purchasing and legalizing company books are included if these transactions are required by law. Although value added tax registration can be counted as a separate procedure, value added tax is not part of the incorporation cost.",,,,,,,
World Bank,Ease of Doing Business Index,edbi_sb_4,,Paid-in minimum capital,,,,The paid-in minimum capital requirement reflects the amount that the entrepreneur needs to deposit in a bank or with a notary before registration or up to three months after incorporation and is recorded as a percentage of the economy’s income per capita.,,,,,,,
World Bank,Ease of Doing Business Index,edbi_con,Dealing with Construction Permits,,,,"edbi_con_1, edbi_con_2, edbi_con_3, edbi_con_4",,,,,1st order index,,,
World Bank,Ease of Doing Business Index,edbi_con_1,,Procedures,,,,,,,,variable,,,
World Bank,Ease of Doing Business Index,edbi_con_2,,Time,,,,,,,,variable,,,
World Bank,Ease of Doing Business Index,edbi_con_3,,Cost,,,,,,,,variable,,,
World Bank,Ease of Doing Business Index,edbi_con_4,,Building quality control index,,,,"Sum of the quality of building regulations, quality control before construction, quality control during construction, quality control after construction, liability and insurance regimes, and professional certifications indicies",0,15,,2nd order index,,,
World Bank,Ease of Doing Business Index,edbi_con_4_a,,,Quality of building regulations index ,,"edbi_con_4_a1, edbi_con_4_a2",,0,2,,3rd order index,,,
